id;domaine;appellation;millesime;couleur;cru;contenance;emplacement;date_entree;date_sortie;prix_achat;garde_min;garde_max;commentaire_entree;note_degus;commentaire_degus;fournisseur_nom;fournisseur_infos;producteur
aed604a6-8bb3-48d5-8158-d8923a6de712;Domaine Huet;Vouvray Moelleux Le Mont;2015;Blanc moelleux;;75 cl;Cave > Casier 3 > Gauche;2019-10-12;;30;10;30;Vouvray de garde exceptionnel;;;Château direct;;
29dbdbf1-7859-48be-bc4e-667b965eb97a;Domaine de l'Écu;Muscadet Sèvre et Maine sur Lie;2018;Blanc;;75 cl;Cave > Casier 3 > Gauche;2020-02-14;;10;2;5;À consommer d'urgence;;;Cave Nicolas;;
5b6a846e-547b-4a2d-bc1a-3efd5fa66d00;Trimbach;Riesling Clos Sainte Hune;2018;Blanc;;75 cl;Cave > Casier 3 > Gauche;2022-07-04;;90;8;20;Le meilleur Riesling d'Alsace;;;Grand Marché du Vin;;
8749de09-1626-4388-9d64-a6bc008c739e;Domaine Weinbach;Gewurztraminer Cuvée Laurence;2019;Blanc;;75 cl;Cave > Casier 3 > Gauche;2022-09-30;;35;8;15;Aromatique et complexe — attendre 2027;;;Grand Marché du Vin;;
e1811150-db24-4adf-8f28-42943e0b7b5e;Château Minuty;Côtes de Provence;2024;Rosé;;75 cl;Cave > Casier 3 > Gauche;2025-04-18;;18;3;4;Rosé frais — attendre printemps 2027;;;Cave Nicolas;;
1f8acae8-0ab6-4f3c-aa4d-5572ace31db5;Château d'Esclans;Côtes de Provence Les Clans;2022;Rosé;;75 cl;Cave > Casier 3 > Gauche;2023-05-20;;35;1;2;À consommer d'urgence — dépasse son apogée;;;La Vinothèque;;
39dfca90-3018-4705-b497-946a07e5fe08;Domaine Ott;Côtes de Provence By Ott;2023;Rosé;;75 cl;Cave > Casier 3 > Gauche;2024-06-01;;;;;Rose elegant;;;;Cave Nicolas;
e47299c1-4c3e-446d-845b-eb9e6f4e6a62;Trimbach;Alsace Pinot Gris Réserve Personnelle;2020;Blanc;;75 cl;Cave > Casier 3 > Gauche;2023-01-15;;20;4;10;Ample et élégant;;;Grand Marché du Vin;;
09563cd5-7647-4c51-9913-6116d4b508bd;Krug;Champagne Grande Cuvée;2012;Blanc effervescent;;75 cl;Cave > Casier 3 > Droite;2022-12-25;;200;10;25;Cadeau Noël 2022;;;Cavissima;cavissima.com;
081e2cc8-308b-45fb-b07f-5cbd4b68b435;Dom Pérignon;Champagne Millésimé;2015;Blanc effervescent;;75 cl;Cave > Casier 3 > Droite;2023-06-10;;180;8;20;Cuvée de prestige;;;La Vinothèque;;
5c2dfa11-7857-44fc-b9e5-b03b44255192;Bollinger;Champagne La Grande Année;2014;Blanc effervescent;;75 cl;Cave > Casier 3 > Droite;2022-09-01;;120;8;18;Pleinement épanoui;;;Grand Marché du Vin;;
2fcd2073-57dd-4420-9184-66d6e0a56076;Taittinger;Champagne Comtes de Champagne;2020;Blanc effervescent;;75 cl;Cave > Casier 3 > Droite;2025-01-20;;90;8;20;Blanc de Blancs d'exception — attendre 2028;;;Millésima;;
2db9b548-b169-412c-a280-eb49977cd8eb;Ruinart;Champagne Blanc de Blancs;2018;Blanc effervescent;;75 cl;Cave > Casier 3 > Droite;2022-04-15;;80;5;12;Frais et vif;;;Cave Nicolas;;
2b0fa4c5-5da6-4ea8-8bcb-0d76bb65cb39;Deutz;Champagne William Deutz;2015;Blanc effervescent;;75 cl;Cave > Casier 3 > Droite;2021-10-30;;85;8;15;Grande cuvée Deutz;;;Grand Marché du Vin;;
f3a53be7-1e4b-49f4-aa8c-eecadc7935a6;Perrier-Jouët;Champagne Belle Époque;2014;Blanc effervescent;;1,5 L (magnum);Cave > Casier 3 > Droite;2022-07-14;;250;8;15;Magnum Belle Époque — dîner de gala;;;Cavissima;cavissima.com;
8424b4cb-cdab-413e-b3e5-91658880481f;Henriot;Champagne Blanc Souverain;2017;Blanc effervescent;;75 cl;Cave > Casier 3 > Droite;2023-02-14;;45;5;10;Saint-Valentin 2023;;;Cave Nicolas;;
93652daf-bce5-41c0-8681-56b5650b41c6;Château Rayas;Châteauneuf-du-Pape;2016;Rouge;;75 cl;Cave > Casier 4;2021-03-10;;180;8;20;Rayas mythique — pleine maturité;;;Cavissima;cavissima.com;
d2a87b62-a20a-4894-8289-bd83c267ec15;Château de Beaucastel;Châteauneuf-du-Pape;2019;Rouge;;75 cl;Cave > Casier 4;2022-08-25;;65;8;20;Beaucastel — attendre encore 2027;;;La Vinothèque;;
2bd5c998-1aa2-4f1c-8281-19375e128ac3;Paul Jaboulet Aîné;Hermitage La Chapelle;2017;Rouge;;75 cl;Cave > Casier 4;2020-11-11;;95;8;20;La Chapelle en grande forme;;;Grand Marché du Vin;;
006e313c-51ee-4ea4-bbcc-ccb8f6ed7612;Domaine Jean-Louis Chave;Hermitage;2020;Rouge;;75 cl;Cave > Casier 4;2024-01-25;;180;10;25;Le meilleur Syrah de France — attendre 2030;;;Cavissima;cavissima.com;
7f51fb9f-ffc2-41e3-9b73-4bbbd8993ad7;Mas de Daumas Gassac;Hérault;2018;Rouge;;75 cl;Cave > Casier 4;2021-05-20;;30;5;15;Le Lafite du Languedoc;;;Cave Nicolas;;
a0040451-f016-42aa-add9-8203f15ff6b8;Domaine du Vieux Télégraphe;Châteauneuf-du-Pape;2018;Rouge;;75 cl;Cave > Casier 4;2021-09-15;;45;6;18;Classique puissant et élégant;;;La Vinothèque;;
6be6a1b9-f689-4ff5-81a7-96d7c4613fd2;Prieuré de Saint-Jean de Bébian;Coteaux du Languedoc;2019;Rouge;;75 cl;Cave > Casier 4;2022-04-08;;25;5;12;Belle expression du Languedoc;;;Cave Nicolas;;
1fcf7803-d3c2-44aa-ad09-c11d817bcf71;Domaine Marcel Richaud;Cairanne;2021;Rouge;;75 cl;Cave > Casier 4;2024-03-30;;15;6;12;Cairanne prometteur — encore trop jeune;;;Cave Nicolas;;
634627d8-8689-4be6-9cc1-2855d49da2fb;Château Pichon Baron;Pauillac;2012;Rouge;CRU CLASSE;75 cl;;2017-06-10;2022-03-15;80;8;20;Achat en primeur 2012;8.5;Tannins fondus, belle finale de cèdre et cassis;Millésima;bordeaux-en-primeur.fr;
75caa0f7-22e1-47e7-8aef-8bb6415bf620;Domaine de la Romanée-Conti;Chambolle-Musigny;2014;Rouge;GRAND CRU;75 cl;;2020-11-20;2023-11-25;400;8;18;Opportunité exceptionnelle;9.5;Sublime, rose et framboise, finesse rare;Cavissima;cavissima.com;
05265209-ae40-4f4a-96af-b585d082b051;Château Pétrus;Pomerol;2010;Rouge;;75 cl;;2021-03-05;2024-04-12;1500;12;30;Achat exceptionnel — une vie;9;Complexité inouïe, truffe noire et moka, velours pur;Sotheby's Wine;sothebys.com;
615d2174-0773-4feb-a2f4-8166220b489f;Château Haut-Brion;Pessac-Léognan;2012;Rouge;CRU CLASSE;75 cl;;2019-12-31;2021-12-31;280;8;25;Réveillon 2021;8.5;Élégant, notes fumées et tabac, longue persistance;Millésima;bordeaux-en-primeur.fr;
4055ca40-d94b-47dc-a9e0-644e0ec79c6e;Domaine Leflaive;Montrachet Grand Cru;2015;Blanc;GRAND CRU;75 cl;;2022-05-01;2023-06-20;500;8;20;Anniversaire 20 ans de mariage;9;Minéralité exceptionnelle, tension et gras en harmonie;Cavissima;cavissima.com;
c52ac485-3352-4448-8c88-c3af1387d86a;Krug;Champagne Grande Cuvée;2008;Blanc effervescent;;75 cl;;2019-06-01;2022-12-31;250;10;25;Fête de fin d'année;9;Complexité époustouflante, brioche et fruits confits;Cavissima;cavissima.com;
6eb0b9d0-5cc1-4564-935a-49907fba83f0;Château Léoville Las Cases;Saint-Julien;2010;Rouge;CRU CLASSE;75 cl;;2018-04-10;2023-04-01;120;8;25;Dîner de gala;9;Puissant et raffiné, tanin de soie, finale épicée;Millésima;bordeaux-en-primeur.fr;
8253804b-0f4c-4d8e-b365-769cbaee221e;Henri Jayer;Vosne-Romanée;1996;Rouge;1ER CRU;75 cl;;2010-05-15;2024-01-18;800;10;20;Bouteille mythique;9.5;Pinot noir transcendant, floral et épicé, éternité en bouche;Sotheby's Wine;sothebys.com;
fe8fa54f-cf15-40ac-bdb0-bfe25f17a470;Château Lafite Rothschild;Pauillac;2000;Rouge;CRU CLASSE;75 cl;;2015-03-10;2020-03-14;600;12;30;Anniversaire 50 ans;9;Grand millésime, complexité absolue, légendaire;Sotheby's Wine;sothebys.com;
f55a22fb-ee24-4805-9f1b-d2dd0a745759;Domaine Zind-Humbrecht;Riesling Rangen de Thann Grand Cru;2016;Blanc;GRAND CRU;75 cl;;2020-09-20;2024-09-10;45;8;20;Découverte Alsace Grand Cru;8;Pétrole élégant, tension minérale, longue finale;Grand Marché du Vin;;
5b1bd5c0-5c9a-4a7c-ae59-552c117c95bd;Château Cheval Blanc;Saint-Émilion Grand Cru;2015;Rouge;GRAND CRU CLASSE;75 cl;;2020-11-01;2023-12-24;450;10;30;Réveillon 2023;9.5;Merlot-Cabernet Franc parfait, fruits noirs et épices, finale interminable;Cavissima;cavissima.com;
12cc96a0-6848-4ed8-ba0c-f5ddd64ce2dd;Dom Pérignon;Champagne Millésimé;2008;Blanc effervescent;;75 cl;;2016-01-01;2021-01-01;200;10;25;Nouvel An 2021;9;Effervescence fine, minéralité calcaire, longueur infinie;La Vinothèque;;
58f31afb-63b1-4155-b181-540e41d77ca4;Château Margaux;Margaux;2011;Rouge;CRU CLASSE;75 cl;;2018-04-12;2022-05-08;350;10;30;Dîner d'affaires;8;Délicat, floral, châtaigne et violette, élégant;Millésima;bordeaux-en-primeur.fr;
7091a61c-3eda-4ac3-a7ba-e589a70f5c22;Domaine Faiveley;Gevrey-Chambertin;2016;Rouge;;75 cl;;2019-06-10;2024-12-31;30;5;12;Achat sac à dos cave Nicolas;7.5;Fruité et accessible, légèrement tanique;Cave Nicolas;;
3050a85a-65e3-4a84-9fcd-725de456521b;Château Rieussec;Sauternes;2010;Blanc liquoreux;GRAND CRU CLASSE;37,5 cl;;2017-11-10;2023-10-15;45;8;25;Dessert anniversaire Christine;9;Abricot confit, miel, botrytis parfait;Cave Nicolas;;
9b712c7e-9620-4c24-aea6-3cb64d2c464b;Château Latour;Pauillac;2005;Rouge;CRU CLASSE;75 cl;;2018-05-20;2022-09-21;500;15;40;Bouteille de collection;9.5;Monument bordelais, tannins grandioses, fruit noir intense;Sotheby's Wine;sothebys.com;
60787772-ad89-4f34-98c7-3e0994f69856;Domaine Huet;Vouvray Sec Le Haut-Lieu;2014;Blanc;;75 cl;;2017-03-01;2023-03-18;18;5;12;Découverte Loire;8;Vif et minéral, notes de cire d'abeille, finale fraîche;Cave Nicolas;;
900641b6-1ba2-423a-af1f-bc59685bbd22;Château de Fargues;Sauternes;2011;Blanc liquoreux;;75 cl;;2018-09-15;2023-11-04;50;8;25;Repas d'automne;8.5;Miel et fleurs blanches, onctueux et équilibré;La Vinothèque;;
6d2f05fa-87a2-4392-9e4b-4f415cb1184d;Château Lafleur;Pomerol;2008;Rouge;;75 cl;;2016-02-14;2024-06-15;350;10;25;Cadeau Saint-Valentin;9;Cabernet Franc puissant, fruits noirs et graphite;Sotheby's Wine;sothebys.com;
bb3fea9b-2b6b-4f9a-8712-0db4f26bbcb9;Château Cos d'Estournel;Saint-Estèphe;2009;Rouge;CRU CLASSE;75 cl;;2016-07-10;2023-02-14;120;10;25;Saint-Valentin — dîner romantique;9;Opulent et épicé, poivre noir, myrtille, finish très long;Millésima;bordeaux-en-primeur.fr;
